Date,Average kWh,Fuel Charge (Cents/kWh),Average Bill,,
11/1/04 0:00,873,2.796,$70.61 ,,
12/1/04 0:00,762,2.796,$60.83 ,,
1/1/05 0:00,850,2.796,$68.59 ,,
2/1/05 0:00,737,2.796,$58.62 ,,
3/1/05 0:00,708,2.796,$56.07 ,,
4/1/05 0:00,680,2.796,$53.60 ,,
5/1/05 0:00,706,2.796,$59.60 ,,
6/1/05 0:00,1125,2.796,$104.08 ,,
7/1/05 0:00,1435,2.796,$136.99 ,,
8/1/05 0:00,1324,2.796,$125.21 ,,
9/1/05 0:00,1430,2.796,$136.46 ,,
10/1/05 0:00,1218,2.796,$113.95 ,,
11/1/05 0:00,737,2.796,$58.62 ,,
12/1/05 0:00,820,2.796,$65.94 ,,
1/1/06 0:00,796,3.634,$70.50 ,,
2/1/06 0:00,665,3.634,$57.85 ,,
3/1/06 0:00,757,3.634,$66.73 ,,
4/1/06 0:00,768,3.634,$67.79 ,,
5/1/06 0:00,891,3.634,$86.71 ,,
6/1/06 0:00,1175,3.634,$119.23 ,,
7/1/06 0:00,1354,3.634,$139.74 ,,
8/1/06 0:00,1428,3.634,$148.21 ,,
9/1/06 0:00,1424,3.634,$147.75 ,,
10/1/06 0:00,1063,3.634,$106.41 ,,
11/1/06 0:00,730,3.634,$64.12 ,,
12/1/06 0:00,776,3.634,$68.57 ,,
1/1/07 0:00,909,3.343,$78.76 ,,
2/1/07 0:00,908,3.343,$78.67 ,,
3/1/07 0:00,731,3.343,$62.09 ,,
4/1/07 0:00,678,3.343,$57.13 ,,
5/1/07 0:00,765,3.343,$70.05 ,,
6/1/07 0:00,1036,3.044,$97.20 ,,
7/1/07 0:00,1163,3.044,$111.00 ,,
8/1/07 0:00,1232,3.044,$118.49 ,,
9/1/07 0:00,1314,3.044,$127.40 ,,
10/1/07 0:00,1092,3.044,$103.28 ,,
11/1/07 0:00,779,3.044,$64.26 ,,
12/1/07 0:00,798,3.044,$65.98 ,,
1/1/08 0:00,911,3.653,$81.77 ,,
2/1/08 0:00,814,3.653,$72.39 ,,
3/1/08 0:00,704,3.653,$61.75 ,,
4/1/08 0:00,684,3.653,$59.81 ,,
5/1/08 0:00,792,3.653,$75.52 ,,
6/1/08 0:00,1233,3.653,$126.11 ,,
7/1/08 0:00,1413,3.653,$146.76 ,,
8/1/08 0:00,1407,3.653,$146.08 ,,
9/1/08 0:00,1306,3.653,$134.49 ,,
10/1/08 0:00,1004,3.653,$99.84 ,,
11/1/08 0:00,686,3.653,$60.01 ,,
12/1/08 0:00,732,3.653,$64.46 ,,
1/1/09 0:00,906,3.653,$81.29 ,,
2/1/09 0:00,708,3.653,$62.13 ,,
3/1/09 0:00,653,3.653,$56.81 ,,
4/1/09 0:00,664,3.653,$57.88 ,,
5/1/09 0:00,794,3.653,$75.75 ,,
6/1/09 0:00,1115,3.653,$112.57 ,,
7/1/09 0:00,1511,3.653,$158.01 ,,
8/1/09 0:00,1457,3.653,$151.81 ,,
9/1/09 0:00,1353,3.653,$139.88 ,,
10/1/09 0:00,924,3.653,$90.66 ,,
11/1/09 0:00,682,3.653,$59.62 ,,
12/1/09 0:00,753,3.653,$66.49 ,,
1/1/10 0:00,997,3.653,$90.09 ,,
2/1/10 0:00,808,3.653,$71.81 ,,
3/1/10 0:00,807,3.653,$71.71 ,,
4/1/10 0:00,628,3.653,$54.40 ,,
5/1/10 0:00,707,3.653,$65.76 ,,
6/1/10 0:00,1098,3.653,$110.62 ,,
7/1/10 0:00,1321,3.653,$136.21 ,,
8/1/10 0:00,1336,3.653,$137.93 ,,
9/1/10 0:00,1411,3.653,$146.53 ,,
10/1/10 0:00,946,3.653,$93.18 ,,
11/1/10 0:00,696,3.653,$61.54 ,,
12/1/10 0:00,736,3.653,$65.45 ,,
1/1/11 0:00,862,3.105,$73.01 ,,
2/1/11 0:00,884,3.105,$75.04 ,,
3/1/11 0:00,701,3.105,$58.19 ,,
4/1/11 0:00,713,3.105,$59.30 ,,
5/1/11 0:00,901,3.105,$83.82 ,,
6/1/11 0:00,1213,3.105,$118.16 ,,
7/1/11 0:00,1481,3.105,$147.66 ,,
8/1/11 0:00,1527,3.105,$152.73 ,,
9/1/11 0:00,1565,3.105,$156.91 ,,
10/1/11 0:00,993,3.615,$93.95 ,,
11/1/11 0:00,732,3.615,$65.23 ,,
12/1/11 0:00,710,3.615,$63.08 ,,
1/1/12 0:00,882,3.615,$74.03 ,,
2/1/12 0:00,663,3.615,$58.48 ,,
3/1/12 0:00,683,3.615,$60.44 ,,
4/1/12 0:00,731,3.615,$65.13 ,,
5/1/12 0:00,865,3.615,$84.81 ,,
6/1/12 0:00,1175,3.615,$120.70 ,,
7/1/12 0:00,1304,3.615,$135.64 ,,
8/1/12 0:00,1380,3.615,$144.44 ,,
9/1/12 0:00,1281,3.372,$132.98 ,,
10/1/12 0:00,871,3.372,$80.31 ,,
11/1/12 0:00,735,3.375,$66.37 ,,
12/1/12 0:00,659,3.372,$58.57 ,,
1/1/13 0:00,903,3.372,$83.59 ,,
2/1/13 0:00,651,3.372,$57.76 ,,
3/1/13 0:00,617,3.372,$54.26 ,,
4/1/13 0:00,630,3.372,$55.60 ,,
5/1/13 0:00,733,3.372,$66.17 ,,
6/1/13 0:00,1071,3.372,$122.81 ,,
7/1/13 0:00,1281,3.372,$151.69 ,,
8/1/13 0:00,1382,3.372,$165.58 ,,
9/1/13 0:00,1295,3.372,$153.62 ,,
10/1/13 0:00,940,3.372,$87.39 ,,
11/1/13 0:00,666,3.709,$62.72 ,,
12/1/13 0:00,828,3.709,$80.15 ,,
1/1/14 0:00,954,3.709,$93.72 ,,
2/1/14 0:00,837,3.709,$81.13 ,,
3/1/14 0:00,693,3.709,$65.61 ,,
4/1/14 0:00,625,3.709,$58.30 ,,
5/1/14 0:00,726,3.709,$69.18 ,,
6/1/14 0:00,970,3.709,$114.23 ,,
7/1/14 0:00,1182,3.709,$144.15 ,,
8/1/14 0:00,1265,3.709,$156.00 ,,
9/1/14 0:00,1313,3.709,$162.84 ,,
10/1/14 0:00,883,3.709,$86.08 ,,
11/1/14 0:00,736,3.945,$72.76 ,,
12/1/14 0:00,674,3.945,$65.41 ,,
1/1/15 0:00,924,3.945,$93.01 ,,
2/1/15 0:00,703,3.945,$68.60 ,,
3/1/15 0:00,773,3.945,$76.34 ,,
4/1/15 0:00,643,3.945,$62.00 ,,
5/1/15 0:00,715,3.945,$69.93 ,,
6/1/15 0:00,916,3.945,$109.61 ,,
7/1/15 0:00,1164,3.945,$144.74 ,,
8/1/15 0:00,1356,3.945,$172.65 ,,
9/1/15 0:00,1247,3.945,$156.81 ,,
10/1/15 0:00,987,3.945,$99.97 ,,
11/1/15 0:00,673,3.139,$63.07 ,,
12/1/15 0:00,657,3.139,$61.34 ,,
1/1/16 0:00,788,3.139,$75.38 ,,
2/1/16 0:00,663,3.139,$61.99 ,,
3/1/16 0:00,602,3.139,$55.46 ,,
